Y,ID,X,City,1cm,1cmyear,100cm,100cmyear
1,2401,J,南相馬,0.84,3.81504,0.8,3.6048
1,2101,M,南相馬,0.56,2.34336,0.55,2.2908
1,2001,N,南相馬,0.35,1.2396,0.36,1.29216
1,1901,O,南相馬,0.38,1.39728,0.38,1.39728
1,1801,P,南相馬,0.4,1.5024,0.39,1.44984
1,1701,Q,南相馬,0.38,1.39728,0.36,1.29216
1,1601,R,南相馬,0.65,2.8164,0.56,2.34336
2,2502,I,南相馬,0.43,1.66008,0.43,1.66008
2,2402,J,南相馬,0.72,3.18432,0.72,3.18432
2,2302,K,南相馬,0.48,1.92288,0.47,1.87032
2,2202,L,南相馬,0.4,1.5024,0.38,1.39728
2,2102,M,南相馬,0.55,2.2908,0.55,2.2908
2,2002,N,南相馬,0.44,1.71264,0.45,1.7652
2,1902,O,南相馬,0.47,1.87032,0.46,1.81776
2,1802,P,南相馬,0.79,3.55224,0.72,3.18432
2,1702,Q,南相馬,0.43,1.66008,0.47,1.87032
2,1602,R,南相馬,0.87,3.97272,0.41,1.55496
2,1502,S,南相馬,0.27,0.81912,0.25,0.714
2,1402,T,南相馬,0.58,2.44848,0.56,2.34336
2,1302,U,南相馬,0.2,0.4512,0.2,0.4512
3,2703,G,南相馬,0.41,1.55496,0.45,1.7652
3,2503,I,南相馬,0.43,1.66008,0.4,1.5024
3,2403,J,南相馬,,-0.6,,-0.6
3,2303,K,南相馬,0.38,1.39728,0.37,1.34472
3,2203,L,南相馬,0.59,2.50104,0.57,2.39592
3,2103,M,南相馬,0.44,1.71264,0.42,1.60752
3,2003,N,南相馬,0.42,1.60752,0.43,1.66008
3,1903,O,南相馬,0.4,1.5024,0.4,1.5024
3,1803,P,南相馬,0.54,2.23824,0.54,2.23824
3,1703,Q,南相馬,0.3,0.9768,0.3,0.9768
3,1603,R,南相馬,0.36,1.29216,0.37,1.34472
3,1503,S,南相馬,0.67,2.92152,0.38,1.39728
3,1403,T,南相馬,0.39,1.44984,0.36,1.29216
3,1303,U,南相馬,1.06,4.97136,0.41,1.55496
3,1203,V,南相馬,0.19,0.39864,0.18,0.34608
3,1103,W,南相馬,0.2,0.4512,0.18,0.34608
4,3204,B,南相馬,0.81,3.65736,0.74,3.28944
4,2704,G,南相馬,0.7,3.0792,0.69,3.02664
4,2604,H,南相馬,0.46,1.81776,0.45,1.7652
4,2504,I,南相馬,0.58,2.44848,0.53,2.18568
4,2404,J,南相馬,0.81,3.65736,0.76,3.39456
4,2304,K,南相馬,0.75,3.342,0.68,2.97408
4,2204,L,南相馬,0.58,2.44848,0.57,2.39592
4,2104,M,南相馬,0.64,2.76384,0.69,3.02664
4,2004,N,南相馬,0.39,1.44984,0.4,1.5024
4,1904,O,南相馬,0.4,1.5024,0.43,1.66008
4,1804,P,南相馬,0.76,3.39456,0.59,2.50104
4,1704,Q,南相馬,0.28,0.87168,0.28,0.87168
4,1604,R,南相馬,0.6,2.5536,0.5,2.028
4,1504,S,南相馬,0.64,2.76384,0.6,2.5536
4,1404,T,南相馬,1.32,6.33792,0.42,1.60752
4,1304,U,南相馬,0.27,0.81912,0.35,1.2396
4,1204,V,南相馬,0.28,0.87168,0.23,0.60888
4,1104,W,南相馬,0.21,0.50376,0.21,0.50376
4,1004,X,南相馬,0.21,0.50376,0.21,0.50376
4,0904,Y,南相馬,0.16,0.24096,0.16,0.24096
5,3205,B,南相馬,1.23,5.86488,1.13,5.33928
5,3105,C,南相馬,0.85,3.8676,0.88,4.02528
5,3005,D,南相馬,0.46,1.81776,0.48,1.92288
5,2905,E,南相馬,0.48,1.92288,0.5,2.028
5,2805,F,南相馬,0.78,3.49968,0.77,3.44712
5,2705,G,南相馬,0.81,3.65736,0.82,3.70992
5,2605,H,南相馬,0.73,3.23688,0.76,3.39456
5,2305,K,南相馬,0.5,2.028,0.47,1.87032
5,2205,L,南相馬,0.75,3.342,0.64,2.76384
5,2105,M,南相馬,0.24,0.66144,0.25,0.714
5,2005,N,南相馬,0.57,2.39592,0.6,2.5536
5,1905,O,南相馬,0.37,1.34472,0.37,1.34472
5,1805,P,南相馬,0.42,1.60752,0.43,1.66008
5,1705,Q,南相馬,0.25,0.714,0.26,0.76656
5,1605,R,南相馬,0.54,2.23824,0.46,1.81776
5,1505,S,南相馬,0.55,2.2908,0.37,1.34472
5,1405,T,南相馬,0.37,1.34472,0.3,0.9768
5,1305,U,南相馬,0.31,1.02936,0.35,1.2396
5,1205,V,南相馬,0.48,1.92288,0.44,1.71264
5,1105,W,南相馬,0.5,2.028,0.5,2.028
5,1005,X,南相馬,0.25,0.714,0.24,0.66144
5,0905,Y,南相馬,0.17,0.29352,0.17,0.29352
6,3306,A,南相馬,1.72,8.44032,1.53,7.44168
6,3206,B,南相馬,0.98,4.55088,0.94,4.34064
6,3106,C,南相馬,0.65,2.8164,0.68,2.97408
6,3006,D,南相馬,0.85,3.8676,0.86,3.92016
6,2906,E,南相馬,0.81,3.65736,0.81,3.65736
6,2806,F,南相馬,1.08,5.07648,0.97,4.49832
6,2206,L,南相馬,0.95,4.3932,0.48,1.92288
6,2106,M,南相馬,0.27,0.81912,0.26,0.76656
6,2006,N,南相馬,0.5,2.028,0.5,2.028
6,1906,O,南相馬,0.26,0.76656,0.31,1.02936
6,1806,P,南相馬,0.4,1.5024,0.4,1.5024
6,1706,Q,南相馬,0.4,1.5024,0.4,1.5024
6,1606,R,南相馬,0.56,2.34336,0.45,1.7652
6,1506,S,南相馬,0.66,2.86896,0.35,1.2396
6,1406,T,南相馬,0.63,2.71128,0.49,1.97544
6,1306,U,南相馬,0.6,2.5536,0.51,2.08056
6,1206,V,南相馬,0.4,1.5024,0.4,1.5024
6,1106,W,南相馬,0.45,1.7652,0.32,1.08192
6,1006,X,南相馬,0.12,0.03072,0.18,0.34608
6,0906,Y,南相馬,0.21,0.50376,0.26,0.76656
7,2907,E,南相馬,0.61,2.60616,62,325.272
7,2307,K,南相馬,0.39,1.44984,0.37,1.34472
7,2207,L,南相馬,0.49,1.97544,0.45,1.7652
7,2107,M,南相馬,0.39,1.44984,0.39,1.44984
7,2007,N,南相馬,0.42,1.60752,0.46,1.81776
7,3107,C,南相馬,1.05,4.9188,1.01,4.70856
7,1907,O,南相馬,0.39,1.44984,0.37,1.34472
7,1807,P,南相馬,0.51,2.08056,0.53,2.18568
7,1707,Q,南相馬,0.75,3.342,0.62,2.65872
7,1607,R,南相馬,0.34,1.18704,0.3,0.9768
7,1507,S,南相馬,0.53,2.18568,0.39,1.44984
7,1407,T,南相馬,0.4,1.5024,0.37,1.34472
7,1307,U,南相馬,0.3,0.9768,0.28,0.87168
7,1207,V,南相馬,0.61,2.60616,0.4,1.5024
7,1107,W,南相馬,0.45,1.7652,0.48,1.92288
7,1007,X,南相馬,0.54,2.23824,0.4,1.5024
7,0907,Y,南相馬,0.22,0.55632,0.25,0.714
8,3008,D,南相馬,1.75,8.598,1.64,8.01984
8,2908,E,南相馬,1.22,5.81232,1.08,5.07648
8,2308,K,南相馬,0.7,3.0792,0.75,3.342
8,2208,L,南相馬,0.9,4.1304,0.87,3.97272
8,2108,M,南相馬,0.37,1.34472,0.41,1.55496
8,2008,N,南相馬,0.36,1.29216,0.33,1.13448
8,1908,O,南相馬,0.38,1.39728,0.4,1.5024
8,1808,P,南相馬,0.26,0.76656,0.26,0.76656
8,1708,Q,南相馬,0.27,0.81912,0.31,1.02936
8,1608,R,南相馬,0.58,2.44848,0.35,1.2396
8,1508,S,南相馬,0.63,2.71128,0.36,1.29216
8,1408,T,南相馬,0.45,1.7652,0.36,1.29216
8,1308,U,南相馬,0.35,1.2396,0.39,1.44984
8,1208,V,南相馬,0.45,1.7652,0.28,0.87168
8,1108,W,南相馬,0.21,0.50376,0.21,0.50376
8,1008,X,南相馬,0.64,2.76384,0.58,2.44848
8,0908,Y,南相馬,0.39,1.44984,0.38,1.39728
9,3009,D,南相馬,1.61,7.86216,1.5,7.284
9,2309,K,南相馬,0.81,3.65736,0.57,2.39592
9,2209,L,南相馬,0.47,1.87032,0.4,1.5024
9,2109,M,南相馬,0.43,1.66008,0.31,1.02936
9,2009,N,南相馬,0.65,2.8164,0.49,1.97544
9,1909,O,南相馬,0.44,1.71264,0.63,2.71128
9,1809,P,南相馬,0.43,1.66008,0.29,0.92424
9,1709,Q,南相馬,0.51,2.08056,0.32,1.08192
9,1609,R,南相馬,0.45,1.7652,0.45,1.7652
9,1509,S,南相馬,0.43,1.66008,0.42,1.60752
9,1409,T,南相馬,0.35,1.2396,0.39,1.44984
9,1309,U,南相馬,0.8,3.6048,0.77,3.44712
9,1209,V,南相馬,0.33,1.13448,0.31,1.02936
9,1109,W,南相馬,0.26,0.76656,0.26,0.76656
9,1009,X,南相馬,0.2,0.4512,0.2,0.4512
9,0909,Y,南相馬,0.29,0.92424,0.27,0.81912
10,3010,D,南相馬,1.9,9.3864,1.78,8.75568
10,2310,K,南相馬,1.43,6.91608,0.65,2.8164
10,2210,L,南相馬,1.13,5.33928,0.57,2.39592
10,2110,M,南相馬,0.39,1.44984,0.42,1.60752
10,2010,N,南相馬,0.8,3.6048,0.69,3.02664
10,1810,P,南相馬,0.5,2.028,0.48,1.92288
10,1910,O,南相馬,0.37,1.34472,0.42,1.60752
10,1710,Q,南相馬,0.25,0.714,0.26,0.76656
10,1610,R,南相馬,0.58,2.44848,0.36,1.29216
10,1510,S,南相馬,0.38,1.39728,0.35,1.2396
10,1410,T,南相馬,0.24,0.66144,0.25,0.714
10,1310,U,南相馬,0.3,0.9768,0.31,1.02936
10,1210,V,南相馬,0.31,1.02936,0.32,1.08192
10,1110,W,南相馬,0.17,0.29352,0.17,0.29352
10,1010,X,南相馬,0.18,0.34608,0.18,0.34608
10,0910,Y,南相馬,0.24,0.66144,0.23,0.60888
11,3011,D,南相馬,2.25,11.226,2.05,10.1748
11,2511,I,南相馬,0.22,0.55632,0.35,1.2396
11,2211,L,南相馬,,-0.6,,-0.6
11,2111,M,南相馬,0.54,2.23824,0.55,2.2908
11,2011,N,南相馬,0.56,2.34336,0.49,1.97544
11,1911,O,南相馬,0.65,2.8164,0.45,1.7652
11,1811,P,南相馬,0.64,2.76384,0.49,1.97544
11,1711,Q,南相馬,0.67,2.92152,0.55,2.2908
11,1611,R,南相馬,0.39,1.44984,0.3,0.9768
11,1511,S,南相馬,0.53,2.18568,0.43,1.66008
11,1411,T,南相馬,0.57,2.39592,0.54,2.23824
11,1311,U,南相馬,0.21,0.50376,0.24,0.66144
11,1211,V,南相馬,0.2,0.4512,0.2,0.4512
11,1111,W,南相馬,,-0.6,,-0.6
11,1011,X,南相馬,0.2,0.4512,0.2,0.4512
11,0911,Y,南相馬,0.22,0.55632,0.23,0.60888
11,2911,E,南相馬,2.22,11.06832,1.92,9.49152
12,2812,F,南相馬,2.16,10.75296,1.18,5.60208
12,2212,L,南相馬,0.99,4.60344,0.92,4.23552
12,2112,M,南相馬,0.45,1.7652,0.45,1.7652
12,2012,N,南相馬,0.68,2.97408,0.64,2.76384
12,1912,O,南相馬,0.42,1.60752,0.43,1.66008
12,1812,P,南相馬,0.6,2.5536,0.58,2.44848
12,1712,Q,南相馬,0.3,0.9768,0.26,0.76656
12,1612,R,南相馬,0.48,1.92288,0.3,0.9768
12,1512,S,南相馬,0.57,2.39592,0.54,2.23824
12,1412,T,南相馬,0.21,0.50376,0.22,0.55632
12,1312,U,南相馬,0.32,1.08192,0.31,1.02936
12,1212,V,南相馬,0.25,0.714,0.25,0.714
12,1112,W,南相馬,0.39,1.44984,0.4,1.5024
12,1012,X,南相馬,0.22,0.55632,0.22,0.55632
12,0912,Y,南相馬,0.22,0.55632,0.21,0.50376
13,2913,E,南相馬,2.52,12.64512,1.47,7.12632
13,2813,F,南相馬,2.25,11.226,1.43,6.91608
13,2713,G,南相馬,1.9,9.3864,1.07,5.02392
13,2613,H,南相馬,1.83,9.01848,1.55,7.5468
13,2513,I,南相馬,1.55,7.5468,0.77,3.44712
13,2413,J,南相馬,1.18,5.60208,1.13,5.33928
13,2313,K,南相馬,0.98,4.55088,1.05,4.9188
13,2213,L,南相馬,1.3,6.2328,0.98,4.55088
13,2113,M,南相馬,0.87,3.97272,0.48,1.92288
13,2013,N,南相馬,0.47,1.87032,0.5,2.028
13,1913,O,南相馬,0.46,1.81776,0.47,1.87032
13,1813,P,南相馬,0.61,2.60616,0.54,2.23824
13,1713,Q,南相馬,0.4,1.5024,0.38,1.39728
13,1613,R,南相馬,0.82,3.70992,0.72,3.18432
13,1513,S,南相馬,0.3,0.9768,0.28,0.87168
13,1413,T,南相馬,0.67,2.92152,0.61,2.60616
13,1313,U,南相馬,0.55,2.2908,0.42,1.60752
13,1213,V,南相馬,0.18,0.34608,0.18,0.34608
13,1113,W,南相馬,0.16,0.24096,0.17,0.29352
13,1013,X,南相馬,0.1,0.1,0.14,0.13584
13,0913,Y,南相馬,0.2,0.4512,0.18,0.34608
14,2814,F,南相馬,2.4,12.0144,2.28,11.38368
14,2614,H,南相馬,1.53,7.44168,1.37,6.60072
14,2514,I,南相馬,2,9.912,1.66,8.12496
14,2414,J,南相馬,2.1,10.4376,1.14,5.39184
14,2314,K,南相馬,1.89,9.33384,1.08,5.07648
14,2214,L,南相馬,0.7,3.0792,0.69,3.02664
14,2114,M,南相馬,1,4.656,0.97,4.49832
14,2014,N,南相馬,0.83,3.76248,0.73,3.23688
14,1914,O,南相馬,1.04,4.86624,0.83,3.76248
14,1814,P,南相馬,0.6,2.5536,0.58,2.44848
14,1714,Q,南相馬,0.57,2.39592,0.56,2.34336
14,1614,R,南相馬,0.56,2.34336,0.45,1.7652
14,1514,S,南相馬,0.78,3.49968,0.69,3.02664
14,1414,T,南相馬,0.72,3.18432,0.42,1.60752
14,1314,U,南相馬,0.38,1.39728,0.32,1.08192
14,1214,V,南相馬,0.18,0.34608,0.15,0.1884
14,1114,W,南相馬,0.3,0.9768,0.3,0.9768
14,1014,X,南相馬,0.14,0.13584,0.16,0.24096
14,0914,Y,南相馬,0.15,0.1884,0.17,0.29352
15,2815,F,南相馬,,-0.6,,-0.6
15,2715,G,南相馬,2.72,13.69632,1.68,8.23008
15,2615,H,南相馬,2.7,13.5912,1.58,7.70448
15,2515,I,南相馬,,-0.6,,-0.6
15,2315,K,南相馬,0.68,2.97408,0.74,3.28944
15,2115,M,南相馬,0.88,4.02528,0.81,3.65736
15,2015,N,南相馬,0.7,3.0792,0.67,2.92152
15,1915,O,南相馬,0.29,0.92424,0.33,1.13448
15,1815,P,南相馬,0.61,2.60616,0.61,2.60616
15,1715,Q,南相馬,0.71,3.13176,0.68,2.97408
15,1615,R,南相馬,0.62,2.65872,0.56,2.34336
15,1515,S,南相馬,0.5,2.028,0.49,1.97544
15,1415,T,南相馬,1,4.656,0.31,1.02936
15,1315,U,南相馬,0.24,0.66144,0.3,0.9768
15,1215,V,南相馬,0.2,0.4512,0.19,0.39864
15,1115,W,南相馬,0.53,2.18568,0.51,2.08056
15,1015,X,南相馬,0.22,0.55632,0.2,0.4512
15,0915,Y,南相馬,0.39,1.44984,0.42,1.60752
16,2816,F,南相馬,2.8,14.1168,1.61,7.86216
16,2316,K,南相馬,0.88,4.02528,0.8,3.6048
16,2216,L,南相馬,0.94,4.34064,0.91,4.18296
16,2116,M,南相馬,1.19,5.65464,0.76,3.39456
16,2016,N,南相馬,0.62,2.65872,0.55,2.2908
16,1916,O,南相馬,0.8,3.6048,0.74,3.28944
16,1816,P,南相馬,0.75,3.342,0.72,3.18432
16,1516,S,南相馬,0.72,3.18432,0.63,2.71128
16,1416,T,南相馬,0.96,4.44576,0.6,2.5536
16,1316,U,南相馬,0.32,1.08192,0.45,1.7652
16,1216,V,南相馬,0.46,1.81776,0.44,1.71264
16,1116,W,南相馬,0.4,1.5024,0.36,1.29216
16,1016,X,南相馬,0.3,0.9768,0.25,0.714
16,0916,Y,南相馬,0.37,1.34472,0.38,1.39728
17,2917,E,南相馬,2.89,14.58984,1.42,6.86352
17,2817,F,南相馬,2.77,13.95912,2,9.912
17,2717,G,南相馬,2.45,12.2772,1.35,6.4956
17,2317,K,南相馬,1.43,6.91608,0.79,3.55224
17,2217,L,南相馬,1.01,4.70856,0.96,4.44576
17,2117,M,南相馬,1.11,5.23416,0.62,2.65872
17,2017,N,南相馬,0.74,3.28944,0.71,3.13176
17,1917,O,南相馬,0.96,4.44576,0.72,3.18432
17,1817,P,南相馬,0.3,0.9768,0.57,2.39592
17,1717,Q,南相馬,0.35,1.2396,0.33,1.13448
17,1517,S,南相馬,0.5,2.028,0.47,1.87032
17,1417,T,南相馬,0.39,1.44984,0.38,1.39728
17,1317,U,南相馬,0.76,3.39456,0.67,2.92152
17,1217,V,南相馬,0.44,1.71264,0.41,1.55496
17,1117,W,南相馬,0.36,1.29216,0.33,1.13448
17,1017,X,南相馬,0.26,0.76656,0.25,0.714
17,0917,Y,南相馬,0.5,2.028,0.46,1.81776
18,2918,E,南相馬,3.15,15.9564,1.96,9.70176
18,2818,F,南相馬,1.23,5.86488,1.15,5.4444
18,2718,G,南相馬,1.78,8.75568,1.25,5.97
18,2618,H,南相馬,1.98,9.80688,1.5,7.284
18,2518,I,南相馬,3.4,17.2704,1.3,6.2328
18,2418,J,南相馬,1.65,8.0724,0.99,4.60344
18,2318,K,南相馬,1.4,6.7584,0.88,4.02528
18,2218,L,南相馬,1.23,5.86488,0.73,3.23688
18,2118,M,南相馬,1.32,6.33792,0.9,4.1304
18,2018,N,南相馬,0.64,2.76384,0.52,2.13312
